,index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_case,Recovered_Rate,Death_Rate
133,133,Philippines,1945,26446,53649,1592.0,13.0,336,2.37,32.24,7.35,68898,13142,19.07,82040,32.23549488054607,2.3707947342759628
134,134,Poland,1676,32856,8870,337.0,5.0,103,3.86,75.7,5.1,40383,3019,7.48,43402,75.70158057232386,3.8615731993917333
135,135,Portugal,1719,35375,13205,135.0,2.0,158,3.42,70.33,4.86,48771,1528,3.13,50299,70.32943000854888,3.417562973418955
136,136,Qatar,165,106328,3104,292.0,0.0,304,0.15,97.02,0.16,107037,2560,2.39,109597,97.0172541219194,0.1505515661925053
137,137,Romania,2206,25794,17902,1104.0,19.0,151,4.81,56.19,8.55,38139,7763,20.35,45902,56.19362990719359,4.805890810857915
138,138,Russia,13334,602249,201097,5607.0,85.0,3077,1.63,73.74,2.21,776212,40468,5.21,816680,73.74357153352598,1.632708037419797
139,139,Rwanda,5,975,899,58.0,0.0,57,0.27,51.89,0.51,1629,250,15.35,1879,51.889302820649284,0.2660989888238425
140,140,Saint Kitts and Nevis,0,15,2,0.0,0.0,0,0.0,88.24,0.0,17,0,0.0,17,88.23529411764706,0.0
141,141,Saint Lucia,0,22,2,0.0,0.0,0,0.0,91.67,0.0,23,1,4.35,24,91.66666666666666,0.0
142,142,Saint Vincent and the Grenadines,0,39,13,0.0,0.0,0,0.0,75.0,0.0,50,2,4.0,52,75.0,0.0
143,143,San Marino,42,657,0,0.0,0.0,0,6.01,93.99,6.39,699,0,0.0,699,93.99141630901288,6.008583690987124
